region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, 0.8353, 0.9091, 0.8706, 0.7709, 0.8704, 0.9727
Jiuzhai Valley, 0.7754, 0.8750, 0.8222, 0.6981, 0.7969, 0.9160
Lombok, 0.7098, 0.7439, 0.7265, 0.5704, 0.7753, 0.9807
Longxi River, 0.6093, 0.8199, 0.6991, 0.5374, 0.7245, 0.9198
Mengdong Township, 0.9130, 0.9563, 0.9341, 0.8764, 0.9302, 0.9856
Luding, 0.6718, 0.8268, 0.7413, 0.5889, 0.7531, 0.9261
Palu, 0.7044, 0.8018, 0.7499, 0.5999, 0.7964, 0.9930
Tiburon Peninsula, 0.8904, 0.8855, 0.8879, 0.7984, 0.8937, 0.9894
Wenchuan, 0.5837, 0.7549, 0.6584, 0.4907, 0.7251, 0.9611
