region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, 0.9321, 0.9576, 0.9447, 0.8952, 0.9376, 0.9830
Jiuzhai Valley, 0.9066, 0.9262, 0.9163, 0.8455, 0.9135, 0.9832
Lombok, 0.9213, 0.9558, 0.9382, 0.8837, 0.9311, 0.9815
Longxi River, 0.9238, 0.9660, 0.9444, 0.8947, 0.9375, 0.9831
Mengdong Township, 0.9225, 0.9484, 0.9353, 0.8785, 0.9281, 0.9808
Luding, 0.9309, 0.9541, 0.9424, 0.8910, 0.9354, 0.9827
Palu, 0.9310, 0.9501, 0.9404, 0.8876, 0.9333, 0.9820
Tiburon Peninsula, 0.9286, 0.9211, 0.9248, 0.8602, 0.9173, 0.9779
Wenchuan, 0.9166, 0.9578, 0.9367, 0.8810, 0.9294, 0.9810
