region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, 0.8746, 0.8716, 0.8731, 0.7748, 0.8733, 0.9744
Jiuzhai Valley, 0.7384, 0.8138, 0.7742, 0.6316, 0.7601, 0.9064
Lombok, 0.7073, 0.7034, 0.7054, 0.5448, 0.7620, 0.9797
Longxi River, 0.6100, 0.8085, 0.6953, 0.5330, 0.7250, 0.9242
Mengdong Township, 0.9326, 0.9331, 0.9329, 0.8742, 0.9284, 0.9846
Luding, 0.7967, 0.8117, 0.8041, 0.6724, 0.8082, 0.9497
Palu, 0.8183, 0.7774, 0.7973, 0.6629, 0.8288, 0.9948
Tiburon Peninsula, 0.8409, 0.9019, 0.8703, 0.7704, 0.8786, 0.9873
Wenchuan, 0.5615, 0.7728, 0.6504, 0.4819, 0.7195, 0.9588
