source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, Jiuzhai Valley, 0.8060, 0.8281, 0.8169, 0.6905, 0.7938, 0.9163
Hokkaido Iburi-Tobu, Lombok, 0.6889, 0.4710, 0.5595, 0.3884, 0.6825, 0.9769
Hokkaido Iburi-Tobu, Longxi River, 0.5555, 0.8046, 0.6573, 0.4895, 0.6936, 0.9068
Hokkaido Iburi-Tobu, Mengdong Township, 0.7372, 0.7466, 0.7419, 0.5897, 0.7674, 0.9490
Hokkaido Iburi-Tobu, Luding, 0.5634, 0.6132, 0.5872, 0.4156, 0.6578, 0.9065
Hokkaido Iburi-Tobu, Palu, 0.5644, 0.5460, 0.5550, 0.3841, 0.6867, 0.9894
Hokkaido Iburi-Tobu, Tiburon Peninsula, 0.6514, 0.7513, 0.6978, 0.5359, 0.7523, 0.9699
Hokkaido Iburi-Tobu, Wenchuan, 0.7070, 0.3148, 0.4357, 0.2785, 0.6190, 0.9601
Jiuzhai Valley, Hokkaido Iburi-Tobu, 0.7516, 0.7790, 0.7651, 0.6195, 0.7854, 0.9549
Jiuzhai Valley, Lombok, 0.4756, 0.5034, 0.4891, 0.3237, 0.6452, 0.9673
Jiuzhai Valley, Longxi River, 0.6109, 0.6620, 0.6355, 0.4657, 0.6873, 0.9157
Jiuzhai Valley, Mengdong Township, 0.7426, 0.7425, 0.7425, 0.5905, 0.7680, 0.9495
Jiuzhai Valley, Luding, 0.5789, 0.6030, 0.5907, 0.4192, 0.6611, 0.9094
Jiuzhai Valley, Palu, 0.5974, 0.5478, 0.5715, 0.4001, 0.6951, 0.9901
Jiuzhai Valley, Tiburon Peninsula, 0.6774, 0.7210, 0.6985, 0.5367, 0.7535, 0.9712
Jiuzhai Valley, Wenchuan, 0.6437, 0.6458, 0.6447, 0.4757, 0.7199, 0.9652
Lombok, Hokkaido Iburi-Tobu, 0.7590, 0.7838, 0.7712, 0.6276, 0.7901, 0.9561
Lombok, Jiuzhai Valley, 0.8342, 0.8278, 0.8310, 0.7109, 0.8088, 0.9241
Lombok, Longxi River, 0.5263, 0.8477, 0.6494, 0.4808, 0.6843, 0.8984
Lombok, Mengdong Township, 0.7789, 0.7460, 0.7621, 0.6156, 0.7831, 0.9543
Lombok, Luding, 0.6679, 0.6160, 0.6409, 0.4716, 0.6957, 0.9252
Lombok, Palu, 0.5876, 0.4645, 0.5189, 0.3503, 0.6699, 0.9896
Lombok, Tiburon Peninsula, 0.7029, 0.7063, 0.7046, 0.5440, 0.7578, 0.9726
Lombok, Wenchuan, 0.6219, 0.6595, 0.6401, 0.4707, 0.7166, 0.9637
Longxi River, Hokkaido Iburi-Tobu, 0.6871, 0.8061, 0.7419, 0.5896, 0.7662, 0.9471
Longxi River, Jiuzhai Valley, 0.7772, 0.8378, 0.8064, 0.6756, 0.7819, 0.9093
Longxi River, Lombok, 0.5604, 0.4092, 0.4730, 0.3097, 0.6405, 0.9717
Longxi River, Mengdong Township, 0.7200, 0.7927, 0.7546, 0.6059, 0.7755, 0.9494
Longxi River, Luding, 0.5726, 0.5097, 0.5393, 0.3692, 0.6347, 0.9056
Longxi River, Palu, 0.5516, 0.4834, 0.5153, 0.3470, 0.6680, 0.9890
Longxi River, Tiburon Peninsula, 0.7023, 0.6809, 0.6914, 0.5284, 0.7497, 0.9719
Longxi River, Wenchuan, 0.7281, 0.5332, 0.6156, 0.4446, 0.7056, 0.9674
Mengdong Township, Hokkaido Iburi-Tobu, 0.7575, 0.7682, 0.7628, 0.6166, 0.7840, 0.9549
Mengdong Township, Jiuzhai Valley, 0.7968, 0.8145, 0.8056, 0.6744, 0.7829, 0.9113
Mengdong Township, Lombok, 0.6797, 0.4673, 0.5538, 0.3829, 0.6796, 0.9766
Mengdong Township, Longxi River, 0.5740, 0.7884, 0.6643, 0.4973, 0.7002, 0.9115
Mengdong Township, Luding, 0.6164, 0.6257, 0.6210, 0.4503, 0.6808, 0.9172
Mengdong Township, Palu, 0.6588, 0.5307, 0.5878, 0.4163, 0.7036, 0.9910
Mengdong Township, Tiburon Peninsula, 0.7034, 0.6977, 0.7005, 0.5391, 0.7553, 0.9724
Mengdong Township, Wenchuan, 0.6502, 0.7404, 0.6924, 0.5295, 0.7481, 0.9678
Luding, Hokkaido Iburi-Tobu, 0.7477, 0.7744, 0.7608, 0.6140, 0.7822, 0.9541
Luding, Jiuzhai Valley, 0.7898, 0.8372, 0.8128, 0.6846, 0.7887, 0.9131
Luding, Lombok, 0.6212, 0.5254, 0.5693, 0.3979, 0.6864, 0.9753
Luding, Longxi River, 0.6032, 0.7105, 0.6525, 0.4842, 0.6965, 0.9160
Luding, Mengdong Township, 0.7129, 0.7439, 0.7281, 0.5724, 0.7568, 0.9455
Luding, Palu, 0.5723, 0.5595, 0.5658, 0.3945, 0.6920, 0.9896
Luding, Tiburon Peninsula, 0.6596, 0.7238, 0.6902, 0.5270, 0.7479, 0.9699
Luding, Wenchuan, 0.6178, 0.5830, 0.5999, 0.4284, 0.6946, 0.9619
Palu, Hokkaido Iburi-Tobu, 0.7732, 0.7735, 0.7734, 0.6305, 0.7922, 0.9572
Palu, Jiuzhai Valley, 0.7542, 0.8747, 0.8100, 0.6807, 0.7827, 0.9075
Palu, Lombok, 0.5694, 0.2815, 0.3767, 0.2321, 0.6014, 0.9710
Palu, Longxi River, 0.5614, 0.8029, 0.6607, 0.4934, 0.6964, 0.9085
Palu, Mengdong Township, 0.7602, 0.7775, 0.7687, 0.6243, 0.7873, 0.9541
Palu, Luding, 0.5788, 0.6728, 0.6223, 0.4517, 0.6781, 0.9115
Palu, Tiburon Peninsula, 0.7492, 0.6954, 0.7213, 0.5641, 0.7692, 0.9751
Palu, Wenchuan, 0.6639, 0.5229, 0.5850, 0.4135, 0.6881, 0.9637
Tiburon Peninsula, Hokkaido Iburi-Tobu, 0.7367, 0.7826, 0.7590, 0.6115, 0.7805, 0.9531
Tiburon Peninsula, Jiuzhai Valley, 0.7894, 0.8326, 0.8104, 0.6812, 0.7865, 0.9122
Tiburon Peninsula, Lombok, 0.6722, 0.5482, 0.6039, 0.4325, 0.7049, 0.9776
Tiburon Peninsula, Longxi River, 0.5615, 0.7435, 0.6398, 0.4704, 0.6845, 0.9071
Tiburon Peninsula, Mengdong Township, 0.6907, 0.7675, 0.7271, 0.5712, 0.7550, 0.9435
Tiburon Peninsula, Luding, 0.5492, 0.5450, 0.5471, 0.3766, 0.6363, 0.9022
Tiburon Peninsula, Palu, 0.5845, 0.5365, 0.5594, 0.3883, 0.6890, 0.9898
Tiburon Peninsula, Wenchuan, 0.7007, 0.5301, 0.6035, 0.4322, 0.6986, 0.9659
Wenchuan, Hokkaido Iburi-Tobu, 0.7444, 0.7974, 0.7700, 0.6260, 0.7887, 0.9551
Wenchuan, Jiuzhai Valley, 0.7695, 0.8435, 0.8048, 0.6734, 0.7798, 0.9078
Wenchuan, Lombok, 0.5772, 0.5121, 0.5427, 0.3724, 0.6726, 0.9732
Wenchuan, Longxi River, 0.5481, 0.7882, 0.6466, 0.4777, 0.6864, 0.9043
Wenchuan, Mengdong Township, 0.7822, 0.7520, 0.7668, 0.6218, 0.7867, 0.9551
Wenchuan, Luding, 0.6478, 0.5734, 0.6084, 0.4371, 0.6759, 0.9200
Wenchuan, Palu, 0.5318, 0.5479, 0.5397, 0.3696, 0.6791, 0.9887
Wenchuan, Tiburon Peninsula, 0.6776, 0.7208, 0.6985, 0.5367, 0.7535, 0.9712
