beta,source_region,precision,recall,f1,iou,miou,oa
0.08, Hokkaido Iburi-Tobu, 0.6218, 0.0646, 0.1170, 0.0621, 0.4493, 0.8383
0.08, Jiuzhai valley (UAV-0.2m), 0.5059, 0.2876, 0.3667, 0.2245, 0.5257, 0.8352
0.08, Jiuzhai valley (UAV-0.5m), 0.4135, 0.4840, 0.4460, 0.2870, 0.5350, 0.8005
0.08, Lombok, 0.5537, 0.0780, 0.1367, 0.0734, 0.4539, 0.8366
0.08, Longxi River (SAT), 0.7020, 0.0578, 0.1067, 0.0564, 0.4472, 0.8396
0.08, Mengdong Township, 0.6368, 0.0138, 0.0271, 0.0137, 0.4242, 0.8350
0.08, Moxi town (UAV-0.2m), 0.2048, 0.9588, 0.3376, 0.2031, 0.2303, 0.3756
0.08, Moxi town (UAV-1m), 0.6135, 0.2879, 0.3919, 0.2437, 0.5440, 0.8517
0.08, Moxitaidi (SAT), 0.5963, 0.5586, 0.5768, 0.4053, 0.6277, 0.8640
0.08, Moxitaidi (UAV-0.6m), 0.4457, 0.5683, 0.4996, 0.3330, 0.5622, 0.8111
0.08, Moxitaidi (UAV-1m), 0.5393, 0.1711, 0.2597, 0.1492, 0.4914, 0.8382
0.08, palu, 0.5136, 0.0219, 0.0420, 0.0215, 0.4276, 0.8343
0.08, Tiburon Peninsula (planet), 0.6037, 0.1927, 0.2922, 0.1711, 0.5055, 0.8450
0.08, Tiburon Peninsula (Sentinel), 0.6212, 0.0794, 0.1408, 0.0757, 0.4564, 0.8392
0.08, Wenchuan, 0.6421, 0.3478, 0.4512, 0.2913, 0.5712, 0.8596
0.09, Hokkaido Iburi-Tobu, 0.5209, 0.0921, 0.1565, 0.0849, 0.4588, 0.8353
0.09, Jiuzhai valley (UAV-0.2m), 0.5189, 0.1968, 0.2853, 0.1664, 0.4987, 0.8364
0.09, Jiuzhai valley (UAV-0.5m), 0.4964, 0.5349, 0.5149, 0.3467, 0.5816, 0.8328
0.09, Lombok, 0.6597, 0.0331, 0.0630, 0.0325, 0.4342, 0.8367
0.09, Longxi River (SAT), 0.6803, 0.0337, 0.0642, 0.0331, 0.4346, 0.8370
0.09, Mengdong Township, 0.4895, 0.0295, 0.0556, 0.0286, 0.4308, 0.8339
0.09, Moxi town (UAV-0.2m), 0.2849, 0.7660, 0.4153, 0.2621, 0.4260, 0.6421
0.09, Moxi town (UAV-1m), 0.7302, 0.0907, 0.1613, 0.0877, 0.4644, 0.8435
0.09, Moxitaidi (SAT), 0.5942, 0.3521, 0.4422, 0.2838, 0.5636, 0.8526
0.09, Moxitaidi (UAV-0.6m), 0.5823, 0.1164, 0.1940, 0.1074, 0.4719, 0.8395
0.09, Moxitaidi (UAV-1m), 0.4303, 0.6768, 0.5261, 0.3569, 0.5645, 0.7977
0.09, palu, 0.6093, 0.0130, 0.0255, 0.0129, 0.4237, 0.8348
0.09, Tiburon Peninsula (planet), 0.6712, 0.2406, 0.3543, 0.2153, 0.5318, 0.8544
0.09, Tiburon Peninsula (Sentinel), 0.6223, 0.0706, 0.1268, 0.0677, 0.4522, 0.8387
0.09, Wenchuan, 0.6030, 0.4688, 0.5275, 0.3582, 0.6036, 0.8606
0.1, Hokkaido Iburi-Tobu, 0.6717, 0.1567, 0.2541, 0.1456, 0.4944, 0.8474
0.1, Jiuzhai valley (UAV-0.2m), 0.5938, 0.5022, 0.5442, 0.3738, 0.6107, 0.8604
0.1, Jiuzhai valley (UAV-0.5m), 0.3711, 0.7704, 0.5009, 0.3342, 0.5210, 0.7453
0.1, Lombok, 0.5462, 0.0239, 0.0458, 0.0234, 0.4288, 0.8347
0.1, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4170, 0.8341
0.1, Mengdong Township, 0.6627, 0.0219, 0.0425, 0.0217, 0.4285, 0.8359
0.1, Moxi town (UAV-0.2m), 0.2423, 0.9248, 0.3840, 0.2376, 0.3280, 0.5076
0.1, Moxi town (UAV-1m), 0.4834, 0.3346, 0.3954, 0.2464, 0.5334, 0.8302
0.1, Moxitaidi (SAT), 0.7719, 0.1946, 0.3109, 0.1840, 0.5180, 0.8568
0.1, Moxitaidi (UAV-0.6m), 0.6125, 0.1907, 0.2908, 0.1701, 0.5054, 0.8457
0.1, Moxitaidi (UAV-1m), 0.4126, 0.4948, 0.4500, 0.2903, 0.5358, 0.7993
0.1, palu, 0.6798, 0.0238, 0.0459, 0.0235, 0.4295, 0.8362
0.1, Tiburon Peninsula (planet), 0.2393, 0.5946, 0.3412, 0.2057, 0.3916, 0.6191
0.1, Tiburon Peninsula (Sentinel), 0.6432, 0.0487, 0.0906, 0.0475, 0.4419, 0.8377
0.1, Wenchuan, 0.6148, 0.4287, 0.5052, 0.3379, 0.5939, 0.8606
0.11, Hokkaido Iburi-Tobu, 0.6053, 0.1444, 0.2331, 0.1319, 0.4852, 0.8424
0.11, Jiuzhai valley (UAV-0.2m), 0.3776, 0.7170, 0.4947, 0.3286, 0.5264, 0.7569
0.11, Jiuzhai valley (UAV-0.5m), 0.6901, 0.1303, 0.2192, 0.1231, 0.4828, 0.8460
0.11, Lombok, 0.6037, 0.0448, 0.0834, 0.0435, 0.4395, 0.8366
0.11, Longxi River (SAT), 0.9779, 0.0020, 0.0040, 0.0020, 0.4182, 0.8344
0.11, Mengdong Township, 0.7242, 0.0313, 0.0600, 0.0309, 0.4337, 0.8373
0.11, Moxi town (UAV-0.2m), 0.2116, 0.9225, 0.3443, 0.2079, 0.2597, 0.4169
0.11, Moxi town (UAV-1m), 0.3987, 0.2130, 0.2777, 0.1612, 0.4853, 0.8161
0.11, Moxitaidi (SAT), 0.6031, 0.4348, 0.5053, 0.3381, 0.5929, 0.8587
0.11, Moxitaidi (UAV-0.6m), 0.4770, 0.7025, 0.5682, 0.3968, 0.5981, 0.8228
0.11, Moxitaidi (UAV-1m), 0.4071, 0.5975, 0.4843, 0.3195, 0.5425, 0.7888
0.11, palu, 0.6361, 0.0434, 0.0812, 0.0423, 0.4391, 0.8371
0.11, Tiburon Peninsula (planet), 0.5936, 0.5285, 0.5591, 0.3881, 0.6182, 0.8617
0.11, Tiburon Peninsula (Sentinel), 0.5937, 0.0081, 0.0160, 0.0081, 0.4212, 0.8345
0.11, Wenchuan, 0.6142, 0.4394, 0.5123, 0.3444, 0.5973, 0.8612
0.12, Hokkaido Iburi-Tobu, 0.5654, 0.2645, 0.3604, 0.2198, 0.5284, 0.8442
0.12, Jiuzhai valley (UAV-0.2m), 0.4379, 0.4419, 0.4399, 0.2820, 0.5402, 0.8133
0.12, Jiuzhai valley (UAV-0.5m), 0.5968, 0.3439, 0.4364, 0.2791, 0.5614, 0.8526
0.12, Lombok, 0.6162, 0.0603, 0.1098, 0.0581, 0.4472, 0.8378
0.12, Longxi River (SAT), 0.6147, 0.0676, 0.1218, 0.0648, 0.4506, 0.8382
0.12, Mengdong Township, 0.6973, 0.0720, 0.1305, 0.0698, 0.4544, 0.8408
0.12, Moxi town (UAV-0.2m), 0.2178, 0.9826, 0.3565, 0.2169, 0.2568, 0.4114
0.12, Moxi town (UAV-1m), 0.2720, 0.2799, 0.2759, 0.1600, 0.4522, 0.7562
0.12, Moxitaidi (SAT), 0.2969, 0.6230, 0.4022, 0.2517, 0.4544, 0.6926
0.12, Moxitaidi (UAV-0.6m), 0.5602, 0.3200, 0.4073, 0.2557, 0.5463, 0.8455
0.12, Moxitaidi (UAV-1m), 0.4431, 0.4383, 0.4407, 0.2826, 0.5417, 0.8154
