source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.3948, 0.7253, 0.5113, 0.3434, 0.4662, 0.6617, 0.0766
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.5737, 0.6693, 0.6178, 0.4470, 0.6721, 0.9051, 0.2740
Hokkaido Iburi-Tobu, Lombok, 0.1404, 0.5734, 0.2255, 0.1271, 0.5025, 0.8800, 0.2031
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.6183, 0.0668, 0.1205, 0.0641, 0.4503, 0.8383, 0.0732
Hokkaido Iburi-Tobu, Mengdong Township, 0.5110, 0.2088, 0.2965, 0.1740, 0.5370, 0.9020, 0.2274
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3343, 0.7400, 0.4605, 0.2991, 0.4948, 0.7265, 0.0895
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2601, 0.6257, 0.3674, 0.2251, 0.5361, 0.8536, 0.1889
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.4063, 0.4128, 0.4095, 0.2575, 0.5894, 0.9233, 0.1847
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2769, 0.3231, 0.2982, 0.1752, 0.5179, 0.8646, 0.1436
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1446, 0.3668, 0.2074, 0.1157, 0.4484, 0.7872, 0.1416
Hokkaido Iburi-Tobu, palu, 0.0852, 0.3736, 0.1388, 0.0746, 0.5111, 0.9478, 0.2034
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.4820, 0.6035, 0.5360, 0.3661, 0.6456, 0.9283, 0.3342
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1921, 0.5867, 0.2894, 0.1692, 0.5323, 0.8976, 0.2288
Hokkaido Iburi-Tobu, Wenchuan, 0.2966, 0.6533, 0.4080, 0.2563, 0.5837, 0.9138, 0.3033
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.6534, 0.2852, 0.3970, 0.2477, 0.5825, 0.9195, 0.0789
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.6539, 0.7609, 0.7034, 0.5425, 0.7309, 0.9264, 0.2170
Jiuzhai valley (UAV-0.2m), Lombok, 0.0948, 0.3560, 0.1498, 0.0809, 0.4782, 0.8768, 0.0490
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4496, 0.8991, 0.0000
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.4782, 0.2286, 0.3094, 0.1830, 0.5035, 0.8306, 0.0531
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.5136, 0.3359, 0.4062, 0.2548, 0.5772, 0.9029, 0.1096
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.3671, 0.7251, 0.4875, 0.3223, 0.5254, 0.7595, 0.0723
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.1372, 0.8028, 0.2344, 0.1327, 0.3778, 0.6435, 0.1668
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.3626, 0.5579, 0.4395, 0.2816, 0.5933, 0.9084, 0.0824
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2386, 0.3973, 0.2981, 0.1752, 0.5012, 0.8334, 0.0603
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.2925, 0.4100, 0.3415, 0.2059, 0.5410, 0.8799, 0.0941
Jiuzhai valley (UAV-0.2m), palu, 0.0049, 0.0015, 0.0023, 0.0011, 0.4933, 0.9854, 0.0008
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.2816, 0.0211, 0.0392, 0.0200, 0.4745, 0.9291, 0.0083
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.2154, 0.2537, 0.2330, 0.1319, 0.5360, 0.9406, 0.0975
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.2802, 0.4899, 0.3565, 0.2169, 0.5674, 0.9196, 0.1823
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.5825, 0.6206, 0.6009, 0.4295, 0.6741, 0.9234, 0.2224
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7905, 0.6765, 0.7291, 0.5737, 0.7134, 0.8773, 0.1857
Jiuzhai valley (UAV-0.5m), Lombok, 0.1263, 0.4938, 0.2012, 0.1119, 0.4953, 0.8805, 0.0923
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.1131, 0.0052, 0.0100, 0.0050, 0.4512, 0.8974, 0.0110
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.5689, 0.5240, 0.5455, 0.3751, 0.6082, 0.8551, 0.2365
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.4253, 0.4885, 0.4547, 0.2942, 0.5862, 0.8841, 0.1432
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.2710, 0.8018, 0.4051, 0.2540, 0.4144, 0.6285, 0.0879
