source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.8538, 0.4053, 0.5497, 0.3790, 0.5996, 0.8380, 0.1382
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.7668, 0.4214, 0.5439, 0.3736, 0.6442, 0.9190, 0.2799
Hokkaido Iburi-Tobu, Lombok, 0.2681, 0.2819, 0.2748, 0.1593, 0.5568, 0.9547, 0.1493
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.7024, 0.0290, 0.0558, 0.0287, 0.4324, 0.8368, 0.0536
Hokkaido Iburi-Tobu, Mengdong Township, 0.6248, 0.1672, 0.2638, 0.1519, 0.5290, 0.9077, 0.1780
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3595, 0.2116, 0.2664, 0.1537, 0.4818, 0.8162, 0.0759
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2597, 0.4956, 0.3408, 0.2054, 0.5353, 0.8697, 0.1940
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3085, 0.2293, 0.2631, 0.1514, 0.5337, 0.9173, 0.1485
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2565, 0.1207, 0.1641, 0.0894, 0.4894, 0.8906, 0.1064
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1606, 0.2433, 0.1934, 0.1071, 0.4751, 0.8460, 0.1421
Hokkaido Iburi-Tobu, palu, 0.1397, 0.2404, 0.1767, 0.0969, 0.5358, 0.9748, 0.1460
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.6733, 0.2914, 0.4068, 0.2553, 0.5979, 0.9417, 0.2478
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.2195, 0.4467, 0.2944, 0.1726, 0.5476, 0.9239, 0.2155
Hokkaido Iburi-Tobu, Wenchuan, 0.4879, 0.4055, 0.4429, 0.2845, 0.6186, 0.9536, 0.2756
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.6726, 0.0806, 0.1439, 0.0775, 0.4939, 0.9109, 0.0164
