source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.5681, 0.6036, 0.5853, 0.4138, 0.5845, 0.7913, 0.1234
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.4267, 0.6655, 0.5200, 0.3514, 0.5994, 0.8591, 0.2686
Hokkaido Iburi-Tobu, Lombok, 0.1654, 0.5411, 0.2534, 0.1451, 0.5231, 0.9028, 0.2405
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.0551, 0.0013, 0.0025, 0.0013, 0.4500, 0.8988, 0.0065
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.5755, 0.0448, 0.0831, 0.0433, 0.4391, 0.8360, 0.0475
Hokkaido Iburi-Tobu, Mengdong Township, 0.4069, 0.2328, 0.2962, 0.1738, 0.5309, 0.8906, 0.1802
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3774, 0.3682, 0.3727, 0.2291, 0.5108, 0.8045, 0.0910
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.2904, 0.5934, 0.3899, 0.2422, 0.5554, 0.8738, 0.2271
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.3425, 0.3641, 0.3530, 0.2143, 0.5632, 0.9140, 0.1942
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2959, 0.3175, 0.3063, 0.1809, 0.5245, 0.8720, 0.1514
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1899, 0.4289, 0.2632, 0.1516, 0.4816, 0.8177, 0.1675
Hokkaido Iburi-Tobu, palu, 0.1358, 0.3768, 0.1997, 0.1109, 0.5384, 0.9660, 0.2838
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.5771, 0.3959, 0.4696, 0.3068, 0.6219, 0.9386, 0.3016
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1965, 0.5211, 0.2854, 0.1664, 0.5360, 0.9072, 0.2408
Hokkaido Iburi-Tobu, Wenchuan, 0.3496, 0.6724, 0.4600, 0.2987, 0.6124, 0.9283, 0.4105
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.7113, 0.0806, 0.1448, 0.0781, 0.4944, 0.9115, 0.0347
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.7294, 0.5994, 0.6581, 0.4904, 0.7068, 0.9286, 0.2102
Jiuzhai valley (UAV-0.2m), Lombok, 0.0816, 0.1301, 0.1003, 0.0528, 0.4907, 0.9289, 0.0312
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4505, 0.9009, 0.0000
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.6189, 0.0519, 0.0958, 0.0503, 0.4431, 0.8374, 0.0265
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.5162, 0.2396, 0.3273, 0.1956, 0.5479, 0.9026, 0.0897
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.4798, 0.2714, 0.3467, 0.2097, 0.5206, 0.8387, 0.0680
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.2542, 0.1083, 0.1519, 0.0822, 0.4997, 0.9178, 0.0527
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.5460, 0.1784, 0.2689, 0.1553, 0.5461, 0.9375, 0.0394
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.3099, 0.3839, 0.3429, 0.2069, 0.5357, 0.8690, 0.1015
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.2484, 0.2776, 0.2622, 0.1509, 0.5149, 0.8814, 0.0694
Jiuzhai valley (UAV-0.2m), palu, 0.0082, 0.0054, 0.0065, 0.0033, 0.4924, 0.9815, 0.0019
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.3146, 0.0969, 0.1482, 0.0800, 0.5015, 0.9235, 0.0390
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.3531, 0.0576, 0.0990, 0.0521, 0.5074, 0.9627, 0.0256
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.4252, 0.2613, 0.3237, 0.1931, 0.5715, 0.9504, 0.1486
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.7159, 0.1606, 0.2624, 0.1510, 0.5329, 0.9161, 0.0333
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.8244, 0.6344, 0.7170, 0.5589, 0.7072, 0.8778, 0.1713
Jiuzhai valley (UAV-0.5m), Lombok, 0.1086, 0.3446, 0.1651, 0.0900, 0.4913, 0.8938, 0.0668
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.1193, 0.0003, 0.0006, 0.0003, 0.4505, 0.9007, 0.0000
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.5176, 0.0383, 0.0713, 0.0370, 0.4352, 0.8345, 0.0083
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.6101, 0.1051, 0.1794, 0.0985, 0.5012, 0.9049, 0.0367
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3050, 0.6759, 0.4204, 0.2661, 0.4685, 0.7060, 0.0858
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.2454, 0.7309, 0.3674, 0.2251, 0.5225, 0.8290, 0.1752
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.4079, 0.3716, 0.3889, 0.2414, 0.5822, 0.9248, 0.0430
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2072, 0.2011, 0.2041, 0.1136, 0.4857, 0.8603, 0.0652
