source_region,target_region,precision,recall,f1,iou,miou,oa,bf1
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.2m), 0.6297, 0.6312, 0.6304, 0.4603, 0.6234, 0.8194, 0.1385
Hokkaido Iburi-Tobu, Jiuzhai valley (UAV-0.5m), 0.4649, 0.7590, 0.5766, 0.4051, 0.6326, 0.8722, 0.2529
Hokkaido Iburi-Tobu, Lombok, 0.1142, 0.5977, 0.1918, 0.1060, 0.4748, 0.8465, 0.2076
Hokkaido Iburi-Tobu, Longxi River (SAT), 0.4412, 0.0004, 0.0008, 0.0004, 0.4506, 0.9009, 0.0000
Hokkaido Iburi-Tobu, Longxi River (UAV), 0.4293, 0.0902, 0.1491, 0.0806, 0.4535, 0.8291, 0.0656
Hokkaido Iburi-Tobu, Mengdong Township, 0.2421, 0.2800, 0.2597, 0.1492, 0.4934, 0.8421, 0.1500
Hokkaido Iburi-Tobu, Moxi town (UAV-0.2m), 0.3345, 0.7250, 0.4578, 0.2968, 0.4955, 0.7291, 0.0998
Hokkaido Iburi-Tobu, Moxi town (UAV-1m), 0.1804, 0.8135, 0.2953, 0.1732, 0.4469, 0.7361, 0.1835
Hokkaido Iburi-Tobu, Moxitaidi (SAT), 0.2940, 0.2918, 0.2929, 0.1716, 0.5395, 0.9093, 0.1672
Hokkaido Iburi-Tobu, Moxitaidi (UAV-0.6m), 0.2574, 0.4415, 0.3252, 0.1942, 0.5122, 0.8368, 0.1676
Hokkaido Iburi-Tobu, Moxitaidi (UAV-1m), 0.1540, 0.5185, 0.2375, 0.1347, 0.4358, 0.7472, 0.1696
Hokkaido Iburi-Tobu, palu, 0.0853, 0.3425, 0.1366, 0.0733, 0.5122, 0.9512, 0.2105
Hokkaido Iburi-Tobu, Tiburon Peninsula (planet), 0.4700, 0.5526, 0.5080, 0.3405, 0.6321, 0.9266, 0.3893
Hokkaido Iburi-Tobu, Tiburon Peninsula (Sentinel), 0.1899, 0.6365, 0.2925, 0.1713, 0.5297, 0.8906, 0.2366
Hokkaido Iburi-Tobu, Wenchuan, 0.3748, 0.6133, 0.4653, 0.3032, 0.6186, 0.9359, 0.3968
Jiuzhai valley (UAV-0.2m), Hokkaido Iburi-Tobu, 0.7601, 0.0880, 0.1577, 0.0856, 0.4988, 0.9126, 0.0233
Jiuzhai valley (UAV-0.2m), Jiuzhai valley (UAV-0.5m), 0.7003, 0.6708, 0.6852, 0.5212, 0.7223, 0.9293, 0.2206
Jiuzhai valley (UAV-0.2m), Lombok, 0.0664, 0.2240, 0.1025, 0.0540, 0.4668, 0.8805, 0.0493
Jiuzhai valley (UAV-0.2m), Longxi River (SAT), 0.0000, 0.0000, 0.0000, 0.0000, 0.4504, 0.9008, 0.0000
Jiuzhai valley (UAV-0.2m), Longxi River (UAV), 0.6720, 0.1425, 0.2351, 0.1332, 0.4878, 0.8462, 0.0533
Jiuzhai valley (UAV-0.2m), Mengdong Township, 0.4961, 0.3943, 0.4393, 0.2815, 0.5890, 0.9005, 0.1086
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-0.2m), 0.4644, 0.3504, 0.3994, 0.2496, 0.5368, 0.8338, 0.0689
Jiuzhai valley (UAV-0.2m), Moxi town (UAV-1m), 0.4712, 0.0940, 0.1567, 0.0850, 0.5079, 0.9313, 0.0293
Jiuzhai valley (UAV-0.2m), Moxitaidi (SAT), 0.4943, 0.4093, 0.4478, 0.2885, 0.6109, 0.9350, 0.0357
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-0.6m), 0.2823, 0.6609, 0.3956, 0.2466, 0.5278, 0.8202, 0.1191
Jiuzhai valley (UAV-0.2m), Moxitaidi (UAV-1m), 0.3498, 0.5285, 0.4209, 0.2666, 0.5758, 0.8896, 0.0959
Jiuzhai valley (UAV-0.2m), palu, 0.0128, 0.0076, 0.0095, 0.0048, 0.4935, 0.9823, 0.0003
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (planet), 0.6286, 0.1887, 0.2903, 0.1698, 0.5528, 0.9367, 0.0551
Jiuzhai valley (UAV-0.2m), Tiburon Peninsula (Sentinel), 0.2180, 0.0278, 0.0493, 0.0253, 0.4936, 0.9619, 0.0145
Jiuzhai valley (UAV-0.2m), Wenchuan, 0.3740, 0.3994, 0.3863, 0.2394, 0.5903, 0.9423, 0.1456
Jiuzhai valley (UAV-0.5m), Hokkaido Iburi-Tobu, 0.6423, 0.4029, 0.4952, 0.3290, 0.6249, 0.9236, 0.1180
Jiuzhai valley (UAV-0.5m), Jiuzhai valley (UAV-0.2m), 0.7823, 0.6900, 0.7332, 0.5788, 0.7157, 0.8775, 0.1790
Jiuzhai valley (UAV-0.5m), Lombok, 0.0880, 0.5394, 0.1513, 0.0819, 0.4472, 0.8157, 0.0531
Jiuzhai valley (UAV-0.5m), Longxi River (SAT), 0.0067, 0.0002, 0.0003, 0.0002, 0.4493, 0.8985, 0.0000
Jiuzhai valley (UAV-0.5m), Longxi River (UAV), 0.5814, 0.1184, 0.1968, 0.1091, 0.4727, 0.8396, 0.0244
Jiuzhai valley (UAV-0.5m), Mengdong Township, 0.4132, 0.3876, 0.4000, 0.2500, 0.5652, 0.8850, 0.1061
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-0.2m), 0.3058, 0.7600, 0.4361, 0.2789, 0.4633, 0.6900, 0.0962
Jiuzhai valley (UAV-0.5m), Moxi town (UAV-1m), 0.2004, 0.7199, 0.3135, 0.1859, 0.4803, 0.7857, 0.1861
Jiuzhai valley (UAV-0.5m), Moxitaidi (SAT), 0.3649, 0.5540, 0.4400, 0.2820, 0.5939, 0.9092, 0.0819
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-0.6m), 0.2320, 0.4534, 0.3070, 0.1813, 0.4957, 0.8177, 0.0912
Jiuzhai valley (UAV-0.5m), Moxitaidi (UAV-1m), 0.1838, 0.5838, 0.2795, 0.1625, 0.4617, 0.7715, 0.0993
Jiuzhai valley (UAV-0.5m), palu, 0.0102, 0.0482, 0.0169, 0.0085, 0.4726, 0.9367, 0.0048
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (planet), 0.2722, 0.3041, 0.2872, 0.1677, 0.5310, 0.8965, 0.1080
Jiuzhai valley (UAV-0.5m), Tiburon Peninsula (Sentinel), 0.2933, 0.1547, 0.2026, 0.1127, 0.5346, 0.9567, 0.0518
Jiuzhai valley (UAV-0.5m), Wenchuan, 0.4725, 0.2343, 0.3133, 0.1857, 0.5693, 0.9533, 0.1144
Lombok, Hokkaido Iburi-Tobu, 0.2619, 0.1036, 0.1484, 0.0802, 0.4843, 0.8895, 0.0516
Lombok, Jiuzhai valley (UAV-0.2m), 0.7194, 0.1933, 0.3047, 0.1797, 0.4769, 0.7848, 0.0898
Lombok, Jiuzhai valley (UAV-0.5m), 0.5818, 0.3428, 0.4315, 0.2751, 0.5836, 0.8964, 0.1896
Lombok, Longxi River (SAT), 0.3110, 0.0134, 0.0257, 0.0130, 0.4561, 0.8993, 0.0032
Lombok, Longxi River (UAV), 0.1552, 0.6641, 0.2516, 0.1439, 0.2035, 0.3444, 0.0658
Lombok, Mengdong Township, 0.0373, 0.0616, 0.0464, 0.0238, 0.3861, 0.7499, 0.0377
Lombok, Moxi town (UAV-0.2m), 0.2052, 0.2678, 0.2324, 0.1315, 0.4200, 0.7209, 0.0542
Lombok, Moxi town (UAV-1m), 0.1168, 0.8469, 0.2053, 0.1144, 0.3208, 0.5543, 0.1210
Lombok, Moxitaidi (SAT), 0.0680, 0.1398, 0.0915, 0.0479, 0.4337, 0.8212, 0.1112
Lombok, Moxitaidi (UAV-0.6m), 0.1020, 0.0645, 0.0790, 0.0411, 0.4533, 0.8662, 0.0405
